<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.04.25 09:30:00 1.36732 1.36834 1.36539 1.36657 4794 0 3
2022.04.25 10:00:00 1.36657 1.36770 1.36544 1.36724 5872 0 1
2022.04.25 10:30:00 1.36724 1.36768 1.36590 1.36713 4346 0 5
2022.04.25 11:00:00 1.36715 1.36827 1.36606 1.36795 3447 0 3
2022.04.25 11:30:00 1.36795 1.36857 1.36687 1.36771 2831 0 2
2022.04.25 12:00:00 1.36771 1.36857 1.36697 1.36782 2926 0 4
2022.04.25 12:30:00 1.36782 1.36823 1.36709 1.36775 2426 0 0
2022.04.25 13:00:00 1.36777 1.36917 1.36666 1.36885 2559 0 1
2022.04.25 13:30:00 1.36885 1.36966 1.36760 1.36806 2672 0 3
2022.04.25 14:00:00 1.36806 1.37047 1.36792 1.36970 3765 0 1
2022.04.25 14:30:00 1.36970 1.37087 1.36887 1.37054 4311 0 0
2022.04.25 15:00:00 1.37055 1.37208 1.37024 1.37061 4715 0 1
2022.04.25 15:30:00 1.37061 1.37127 1.36931 1.37088 3236 0 1
2022.04.25 16:00:00 1.37088 1.37103 1.36907 1.36916 3100 0 2
2022.04.25 16:30:00 1.36916 1.36958 1.36764 1.36883 5891 0 2
2022.04.25 17:00:00 1.36883 1.36981 1.36743 1.36743 5104 0 2
2022.04.25 17:30:00 1.36744 1.36824 1.36626 1.36744 5213 0 0
2022.04.25 18:00:00 1.36749 1.36857 1.36621 1.36773 4182 0 0
2022.04.25 18:30:00 1.36773 1.36810 1.36664 1.36742 3399 0 2
2022.04.25 19:00:00 1.36742 1.36869 1.36661 1.36780 3292 0 5
2022.04.25 19:30:00 1.36780 1.36809 1.36684 1.36747 2550 0 5
2022.04.25 20:00:00 1.36747 1.36810 1.36699 1.36747 2852 0 5
2022.04.25 20:30:00 1.36748 1.36784 1.36629 1.36648 2735 0 0
2022.04.25 21:00:00 1.36648 1.36722 1.36529 1.36545 3013 0 0
2022.04.25 21:30:00 1.36545 1.36580 1.36301 1.36317 2651 0 6
2022.04.25 22:00:00 1.36314 1.36359 1.36242 1.36287 3311 0 2
2022.04.25 22:30:00 1.36288 1.36347 1.36260 1.36329 2143 0 3
2022.04.25 23:00:00 1.36331 1.36369 1.36305 1.36356 1053 0 9
2022.04.25 23:30:00 1.36356 1.36432 1.36320 1.36406 780 0 15
